,year,month,date_of_month,day_of_week,births
533,1995,6,18,7,8203
534,1995,6,19,1,11223
535,1995,6,20,2,12395
536,1995,6,21,3,12049
537,1995,6,22,4,11799
538,1995,6,23,5,11942
539,1995,6,24,6,9065
540,1995,6,25,7,8279
541,1995,6,26,1,11127
542,1995,6,27,2,12349
543,1995,6,28,3,12162
544,1995,6,29,4,12423
545,1995,6,30,5,12338
546,1995,7,1,6,9283
547,1995,7,2,7,8256
548,1995,7,3,1,10623
549,1995,7,4,2,9374
550,1995,7,5,3,11399
551,1995,7,6,4,12855
552,1995,7,7,5,12954
553,1995,7,8,6,9438
554,1995,7,9,7,8506
555,1995,7,10,1,11618
556,1995,7,11,2,12552
557,1995,7,12,3,12167
558,1995,7,13,4,12253
559,1995,7,14,5,12659
560,1995,7,15,6,9391
561,1995,7,16,7,8516
562,1995,7,17,1,11461
563,1995,7,18,2,12495
564,1995,7,19,3,12129
565,1995,7,20,4,12598
566,1995,7,21,5,12428
567,1995,7,22,6,9328
568,1995,7,23,7,8483
569,1995,7,24,1,11501
570,1995,7,25,2,12580
571,1995,7,26,3,12316
572,1995,7,27,4,12309
573,1995,7,28,5,12442
574,1995,7,29,6,9277
575,1995,7,30,7,8384
576,1995,7,31,1,11298
577,1995,8,1,2,12442
578,1995,8,2,3,12249
579,1995,8,3,4,12193
580,1995,8,4,5,12186
581,1995,8,5,6,9267
582,1995,8,6,7,8346
583,1995,8,7,1,11223
584,1995,8,8,2,12441
585,1995,8,9,3,12217
586,1995,8,10,4,12243
587,1995,8,11,5,12154
588,1995,8,12,6,9153
589,1995,8,13,7,8421
590,1995,8,14,1,11297
591,1995,8,15,2,12760
592,1995,8,16,3,12244
593,1995,8,17,4,12345
594,1995,8,18,5,12362
595,1995,8,19,6,9265
596,1995,8,20,7,8434
597,1995,8,21,1,11436
598,1995,8,22,2,12612
599,1995,8,23,3,12083
600,1995,8,24,4,12381
601,1995,8,25,5,12208
602,1995,8,26,6,9155
603,1995,8,27,7,8509
604,1995,8,28,1,11473
605,1995,8,29,2,12522
606,1995,8,30,3,12631
607,1995,8,31,4,12485
608,1995,9,1,5,12439
609,1995,9,2,6,9079
610,1995,9,3,7,8438
611,1995,9,4,1,8441
612,1995,9,5,2,11682
613,1995,9,6,3,12951
614,1995,9,7,4,12924
615,1995,9,8,5,12939
616,1995,9,9,6,9714
617,1995,9,10,7,8568
618,1995,9,11,1,11480
619,1995,9,12,2,12583
620,1995,9,13,3,12173
621,1995,9,14,4,12789
622,1995,9,15,5,13023
623,1995,9,16,6,9535
624,1995,9,17,7,8757
625,1995,9,18,1,11729
626,1995,9,19,2,12692
627,1995,9,20,3,12571
628,1995,9,21,4,12663
629,1995,9,22,5,12813
630,1995,9,23,6,9341
631,1995,9,24,7,8659
632,1995,9,25,1,11552
633,1995,9,26,2,12814
634,1995,9,27,3,12605
635,1995,9,28,4,12845
636,1995,9,29,5,12316
637,1995,9,30,6,8988
638,1995,10,1,7,8545
639,1995,10,2,1,11650
640,1995,10,3,2,12375
641,1995,10,4,3,12016
642,1995,10,5,4,12245
643,1995,10,6,5,12081
644,1995,10,7,6,9048
645,1995,10,8,7,7997
646,1995,10,9,1,10892
647,1995,10,10,2,12273
648,1995,10,11,3,11843
649,1995,10,12,4,12002
650,1995,10,13,5,11078
651,1995,10,14,6,8920
652,1995,10,15,7,7996
653,1995,10,16,1,10840
654,1995,10,17,2,11974
655,1995,10,18,3,11693
656,1995,10,19,4,11463
657,1995,10,20,5,11610
658,1995,10,21,6,8673
659,1995,10,22,7,7827
660,1995,10,23,1,10770
661,1995,10,24,2,11916
662,1995,10,25,3,11573
663,1995,10,26,4,11534
664,1995,10,27,5,11449
665,1995,10,28,6,8633
666,1995,10,29,7,7876
667,1995,10,30,1,10480
668,1995,10,31,2,10740
669,1995,11,1,3,11702
670,1995,11,2,4,11746
671,1995,11,3,5,11368
672,1995,11,4,6,8438
673,1995,11,5,7,7868
674,1995,11,6,1,10809
675,1995,11,7,2,12038
676,1995,11,8,3,11702
677,1995,11,9,4,11441
678,1995,11,10,5,11246
679,1995,11,11,6,8522
680,1995,11,12,7,7891
681,1995,11,13,1,10534
682,1995,11,14,2,11455
683,1995,11,15,3,11629
684,1995,11,16,4,11436
685,1995,11,17,5,11410
686,1995,11,18,6,8493
687,1995,11,19,7,7772
688,1995,11,20,1,11476
689,1995,11,21,2,12503
690,1995,11,22,3,11304
691,1995,11,23,4,7754
692,1995,11,24,5,9125
693,1995,11,25,6,8115
694,1995,11,26,7,7500
695,1995,11,27,1,10979
696,1995,11,28,2,12002
697,1995,11,29,3,11344
698,1995,11,30,4,11215
699,1995,12,1,5,11206
700,1995,12,2,6,8429
701,1995,12,3,7,7703
702,1995,12,4,1,10346
703,1995,12,5,2,11676
704,1995,12,6,3,11188
705,1995,12,7,4,11242
706,1995,12,8,5,11166
707,1995,12,9,6,8201
708,1995,12,10,7,7595
709,1995,12,11,1,10429
710,1995,12,12,2,11784
711,1995,12,13,3,11191
712,1995,12,14,4,11403
713,1995,12,15,5,11458
714,1995,12,16,6,8509
715,1995,12,17,7,7759
716,1995,12,18,1,11139
717,1995,12,19,2,12501
718,1995,12,20,3,12043
719,1995,12,21,4,11944
720,1995,12,22,5,11204
721,1995,12,23,6,8058
722,1995,12,24,7,6999
723,1995,12,25,1,7027
724,1995,12,26,2,9447
725,1995,12,27,3,11897
726,1995,12,28,4,12530
727,1995,12,29,5,12207
728,1995,12,30,6,9093
729,1995,12,31,7,7596
730,1996,1,1,1,7683
731,1996,1,2,2,9408
732,1996,1,3,3,10954
733,1996,1,4,4,11308
734,1996,1,5,5,11631
735,1996,1,6,6,8680
736,1996,1,7,7,7735
737,1996,1,8,1,10044
738,1996,1,9,2,11018
739,1996,1,10,3,11144
740,1996,1,11,4,11304
741,1996,1,12,5,11274
742,1996,1,13,6,8488
743,1996,1,14,7,7685
744,1996,1,15,1,9912
745,1996,1,16,2,11181
746,1996,1,17,3,11148
747,1996,1,18,4,11579
748,1996,1,19,5,11292
749,1996,1,20,6,8492
750,1996,1,21,7,7701
751,1996,1,22,1,10593
752,1996,1,23,2,11451
753,1996,1,24,3,11336
754,1996,1,25,4,11405
755,1996,1,26,5,11195
756,1996,1,27,6,8487
757,1996,1,28,7,7533
758,1996,1,29,1,10374
759,1996,1,30,2,11359
760,1996,1,31,3,10889
761,1996,2,1,4,11030
762,1996,2,2,5,11335
763,1996,2,3,6,8390
764,1996,2,4,7,7531
765,1996,2,5,1,10364
766,1996,2,6,2,11360
767,1996,2,7,3,11204
768,1996,2,8,4,11529
769,1996,2,9,5,11577
770,1996,2,10,6,8578
771,1996,2,11,7,7710
772,1996,2,12,1,10542
773,1996,2,13,2,11322
774,1996,2,14,3,12094
775,1996,2,15,4,11820
776,1996,2,16,5,11666
777,1996,2,17,6,8465
778,1996,2,18,7,7763
779,1996,2,19,1,10036
780,1996,2,20,2,11598
781,1996,2,21,3,11554
782,1996,2,22,4,11697
783,1996,2,23,5,11415
784,1996,2,24,6,8692
785,1996,2,25,7,7917
786,1996,2,26,1,10693
787,1996,2,27,2,11761
788,1996,2,28,3,11428
789,1996,2,29,4,10692
790,1996,3,1,5,11785
791,1996,3,2,6,8719
792,1996,3,3,7,7885
793,1996,3,4,1,10586
794,1996,3,5,2,11475
795,1996,3,6,3,11535
796,1996,3,7,4,11446
797,1996,3,8,5,11272
798,1996,3,9,6,8611
799,1996,3,10,7,7512
800,1996,3,11,1,10668
801,1996,3,12,2,11623
802,1996,3,13,3,11338
803,1996,3,14,4,11578
804,1996,3,15,5,11860
805,1996,3,16,6,8691
806,1996,3,17,7,8010
807,1996,3,18,1,10812
808,1996,3,19,2,11764
809,1996,3,20,3,11482
810,1996,3,21,4,11653
811,1996,3,22,5,11727
812,1996,3,23,6,8534
813,1996,3,24,7,8002
814,1996,3,25,1,10662
815,1996,3,26,2,11764
816,1996,3,27,3,11532
817,1996,3,28,4,11728
818,1996,3,29,5,11659
819,1996,3,30,6,8712
820,1996,3,31,7,7956
821,1996,4,1,1,10173
822,1996,4,2,2,12055
823,1996,4,3,3,11622
824,1996,4,4,4,11881
825,1996,4,5,5,10985
826,1996,4,6,6,8354
827,1996,4,7,7,7372
828,1996,4,8,1,10659
829,1996,4,9,2,11631
830,1996,4,10,3,11429
831,1996,4,11,4,11489
832,1996,4,12,5,11462
833,1996,4,13,6,8565
834,1996,4,14,7,7687
835,1996,4,15,1,10548
836,1996,4,16,2,11754
837,1996,4,17,3,11554
838,1996,4,18,4,11282
839,1996,4,19,5,11438
840,1996,4,20,6,8451
841,1996,4,21,7,7789
842,1996,4,22,1,10957
843,1996,4,23,2,11979
844,1996,4,24,3,11342
845,1996,4,25,4,11340
846,1996,4,26,5,11070
847,1996,4,27,6,8444
848,1996,4,28,7,7567
849,1996,4,29,1,10325
850,1996,4,30,2,11391
851,1996,5,1,3,11390
852,1996,5,2,4,11397
853,1996,5,3,5,11011
854,1996,5,4,6,8483
855,1996,5,5,7,7821
856,1996,5,6,1,10585
857,1996,5,7,2,11567
858,1996,5,8,3,11403
859,1996,5,9,4,11404
860,1996,5,10,5,11471
861,1996,5,11,6,8495
862,1996,5,12,7,7758
863,1996,5,13,1,10291
864,1996,5,14,2,11757
865,1996,5,15,3,11619
866,1996,5,16,4,11637
867,1996,5,17,5,11370
868,1996,5,18,6,8696
869,1996,5,19,7,7906
870,1996,5,20,1,11073
871,1996,5,21,2,11962
872,1996,5,22,3,11733
873,1996,5,23,4,11511
874,1996,5,24,5,11835
875,1996,5,25,6,8666
876,1996,5,26,7,7746
877,1996,5,27,1,8034
878,1996,5,28,2,11151
879,1996,5,29,3,12119
880,1996,5,30,4,11964
881,1996,5,31,5,11853
882,1996,6,1,6,8866
883,1996,6,2,7,7962
884,1996,6,3,1,10916
885,1996,6,4,2,11783
886,1996,6,5,3,11695
887,1996,6,6,4,11849
888,1996,6,7,5,11750
889,1996,6,8,6,8739
890,1996,6,9,7,8013
891,1996,6,10,1,10927
892,1996,6,11,2,11978
893,1996,6,12,3,11710
894,1996,6,13,4,11521
895,1996,6,14,5,11644
896,1996,6,15,6,8783
897,1996,6,16,7,8004
898,1996,6,17,1,10981
899,1996,6,18,2,12105
900,1996,6,19,3,11779
901,1996,6,20,4,12052
902,1996,6,21,5,11759
903,1996,6,22,6,8946
904,1996,6,23,7,8128
905,1996,6,24,1,11080
906,1996,6,25,2,12150
907,1996,6,26,3,12154
908,1996,6,27,4,11957
909,1996,6,28,5,12057
910,1996,6,29,6,8956
911,1996,6,30,7,8281
912,1996,7,1,1,11779
913,1996,7,2,2,13167
914,1996,7,3,3,12563
915,1996,7,4,4,9358
916,1996,7,5,5,10823
917,1996,7,6,6,9044
918,1996,7,7,7,8248
919,1996,7,8,1,11385
920,1996,7,9,2,12623
921,1996,7,10,3,12362
922,1996,7,11,4,12256
923,1996,7,12,5,11976
924,1996,7,13,6,9152
925,1996,7,14,7,8358
926,1996,7,15,1,11421
927,1996,7,16,2,12619
928,1996,7,17,3,12660
929,1996,7,18,4,12247
930,1996,7,19,5,12049
931,1996,7,20,6,9107
932,1996,7,21,7,8349
933,1996,7,22,1,11164
934,1996,7,23,2,12731
935,1996,7,24,3,12214
936,1996,7,25,4,12307
937,1996,7,26,5,12082
938,1996,7,27,6,9012
939,1996,7,28,7,8227
940,1996,7,29,1,11232
941,1996,7,30,2,12519
942,1996,7,31,3,12128
943,1996,8,1,4,12153
944,1996,8,2,5,12088
945,1996,8,3,6,9174
946,1996,8,4,7,8327
947,1996,8,5,1,11268
948,1996,8,6,2,12508
949,1996,8,7,3,12277
950,1996,8,8,4,12385
951,1996,8,9,5,12167
952,1996,8,10,6,9175
953,1996,8,11,7,8310
954,1996,8,12,1,11499
955,1996,8,13,2,12407
956,1996,8,14,3,12294
957,1996,8,15,4,12180
958,1996,8,16,5,12419
959,1996,8,17,6,9290
960,1996,8,18,7,8305
961,1996,8,19,1,11392
962,1996,8,20,2,12270
963,1996,8,21,3,12338
964,1996,8,22,4,12291
965,1996,8,23,5,12213
966,1996,8,24,6,9130
967,1996,8,25,7,8212
968,1996,8,26,1,11201
969,1996,8,27,2,12573
970,1996,8,28,3,12339
971,1996,8,29,4,12509
972,1996,8,30,5,12479
973,1996,8,31,6,9144
974,1996,9,1,7,8250
975,1996,9,2,1,8331
976,1996,9,3,2,11506
977,1996,9,4,3,12970
978,1996,9,5,4,12657
979,1996,9,6,5,12629
980,1996,9,7,6,9396
981,1996,9,8,7,8354
982,1996,9,9,1,11543
983,1996,9,10,2,12662
984,1996,9,11,3,12420
985,1996,9,12,4,12486
986,1996,9,13,5,12019
987,1996,9,14,6,9323
988,1996,9,15,7,8561
989,1996,9,16,1,12107
990,1996,9,17,2,13063
991,1996,9,18,3,12630
992,1996,9,19,4,12535
993,1996,9,20,5,12754
994,1996,9,21,6,9492
995,1996,9,22,7,8694
996,1996,9,23,1,11605
